,TSNE_1,TSNE_2,ClusterName
420,4.2213078,-32.50953,SCGLU2
421,1.3414451,-25.806898,SCGLU2
422,4.6749263,-21.822603,SCGLU2
423,-10.92054,23.437307,SCGLU2
424,3.3412778,-14.7787285,SCGLU2
425,2.9690602,-27.417059,SCGLU2
426,3.0311232,-24.078205,SCGLU2
427,-1.3578633,1.7366434,SCGLU2
428,-2.4796443,-1.6447175,SCGLU2
429,4.712868,-26.488308,SCGLU2
430,8.966445,49.93675,SCGLU2
431,0.16829117,-10.61693,SCGLU2
432,-9.70996,-33.284824,SCGLU2
433,-6.125968,-12.780637,SCGLU2
434,-3.642217,-29.078835,SCGLU2
435,4.145098,-24.368814,SCGLU2
436,3.623814,-25.45767,SCGLU2
437,-2.283241,-28.162563,SCGLU2
438,1.0840026,-20.469427,SCGLU2
439,3.5526574,35.350704,SCGLU2
440,7.588517,-24.29481,SCGLU2
441,-5.3365183,0.58665663,SCGLU2
442,-2.9217992,-3.1006532,SCGLU2
443,4.8424225,-23.769228,SCGLU2
444,-8.405009,-34.76792,SCGLU2
445,7.3576035,42.135395,SCGLU2
446,4.9748883,-24.501451,SCGLU2
447,-12.385643,-38.172855,SCGLU2
448,6.9328737,42.275562,SCGLU2
449,-8.644392,-36.158005,SCGLU2
450,1.6894401,-12.721109,SCGLU2
451,-1.2113506,-20.482946,SCGLU2
452,7.952077,39.412518,SCGLU2
453,-1.8635712,-8.482279,SCGLU2
454,-6.7757897,-15.453956,SCGLU2
455,9.866297,-28.897692,SCGLU2
456,6.4375043,43.610306,SCGLU2
457,-6.818744,-31.080828,SCGLU2
458,3.4861364,-26.064463,SCGLU2
459,8.035053,-30.450714,SCGLU2
460,-7.6690936,-33.31592,SCGLU2
461,-4.7111673,-9.319256,SCGLU2
462,6.0957994,39.401447,SCGLU2
463,-9.516655,-33.103134,SCGLU2
464,-3.3772013,-10.824142,SCGLU2
465,-0.06416374,1.0923276,SCGLU2
466,1.9251645,-22.69061,SCGLU2
467,7.5468473,39.31643,SCGLU2
468,5.404925,-22.78683,SCGLU2
469,-4.3028946,-14.458037,SCGLU2
470,-0.8224469,-8.756064,SCGLU2
471,-1.1753776,-20.47298,SCGLU2
472,-3.2339382,-18.857388,SCGLU2
473,2.5459182,40.17615,SCGLU2
474,3.2231061,-10.079037,SCGLU2
475,-6.2197046,-10.799584,SCGLU2
476,3.66764,-28.31044,SCGLU2
477,2.6823814,-28.765,SCGLU2
478,12.695208,-34.390747,SCGLU2
479,5.014546,-21.346264,SCGLU2
480,-2.5792093,-28.936417,SCGLU2
481,6.8328886,40.783314,SCGLU2
482,7.812067,-23.057379,SCGLU2
483,6.396512,43.180817,SCGLU2
484,4.76595,-28.609415,SCGLU2
485,-2.913591,-13.093184,SCGLU2
486,1.4068921,-25.606688,SCGLU2
487,-23.000637,-16.61952,SCGLU2
488,0.048699725,-28.182901,SCGLU2
489,-2.7436678,-1.3870913,SCGLU2
490,-3.4850137,-16.60963,SCGLU2
491,6.1646476,-21.036383,SCGLU2
492,-7.6808524,-13.059702,SCGLU2
493,-2.565402,-26.248188,SCGLU2
494,6.1925325,39.49482,SCGLU2
495,-0.22779794,1.0492945,SCGLU2
496,0.34647804,-27.211222,SCGLU2
497,-4.250761,-5.09837,SCGLU2
498,5.3069077,50.74559,SCGLU2
499,-22.909292,-16.570946,SCGLU2
500,-0.42030844,-6.832778,SCGLU2
501,0.057649527,-18.352028,SCGLU2
502,-6.7993097,-15.857771,SCGLU2
503,1.8133497,45.272015,SCGLU2
504,-8.731047,-32.727833,SCGLU2
505,-21.217281,-9.594035,SCGLU2
